General Product,Routine Category,Default Product for Routines,Premium Option 1,Premium Option 2,Premium Option 3,Option 4,Option 5,,,
Creamy Cleanser,Cleanser,https://www.vanicream.com/product/vanicream-facial-cleanser,https://www.dermstore.com/p/la-roche-posay-toleriane-hydrating-gentle-cleanser-400ml/11429066/?affil=thgppc&kwds=60461994511&thg_ppc_campaign=22593687728&adtype=pla_with_promotion&product_id=11429066&cq_src=google_ads&cq_cmp=22593687728&cq_con=184010091775&cq_term=&cq_med=pla_with_promotion&cq_plac=&cq_net=g&cq_plt=gp&gclsrc=aw.ds&gad_source=1&gad_campaignid=22593687728&gbraid=0AAAAAD_vmAW0gSK7eVO7_aI1tANGj73L-&gclid=Cj0KCQjw0Y3HBhCxARIsAN7931XXfKJQdVYmFe5Ic_kFc3_0Zl9fnu57AZeQ20HHlKrrji4wvsBHV2IaAkZfEALw_wcB,https://www.skinceuticals.com/skincare/facial-cleansers/gentle-cleanser/S33.html,https://www.sephora.com/product/clean-clean-gentle-gel-foaming-cleanser-P514513?country_switch=us&lang=en&skuId=2836500&om_mmc=ppc-GG_17791296883___2836500__9060360_c&country_switch=us&lang=en&gclsrc=aw.ds&gad_source=1&gad_campaignid=17798721803&gbraid=0AAAAADnIXb2iRXJ0QTqbGUoBbWQDqg-kY&gclid=Cj0KCQjw0Y3HBhCxARIsAN7931X3M1u2WTDys1K5zM5hKeZlNxaiwiP75IMD_lZ8wtf-0WM3GAbQCKAaAmDUEALw_wcB,https://cherylleemd.com/products/truecider-creamy-face-cleanser?gad_source=1&gad_campaignid=22356973622&gbraid=0AAAAADnpp_TCU8DDhge5yz_sZZCTC0Hjf&gclid=Cj0KCQjw0Y3HBhCxARIsAN7931WUcLBkDW0lpUGbYOmCBw7gJHJ8Q1Eaj_TFtIZwhP0UzIqJNiBLa4caAg4tEALw_wcB,https://www.dermstore.com/p/la-roche-posay-toleriane-hydrating-gentle-cleanser-400ml/11429066/?affil=thgppc&kwds=60461994511&thg_ppc_campaign=22593687728&adtype=pla_with_promotion&product_id=11429066&cq_src=google_ads&cq_cmp=22593687728&cq_con=184010091775&cq_term=&cq_med=pla_with_promotion&cq_plac=&cq_net=g&cq_plt=gp&gclsrc=aw.ds&gad_source=1&gad_campaignid=22593687728&gbraid=0AAAAAD_vmAW0gSK7eVO7_aI1tANGj73L-&gclid=Cj0KCQjw0Y3HBhCxARIsAN7931XXfKJQdVYmFe5Ic_kFc3_0Zl9fnu57AZeQ20HHlKrrji4wvsBHV2IaAkZfEALw_wcB,,,
Gel Cleanser,Cleanser,https://www.cerave.com/skincare/cleansers/hydrating-facial-cleanser,https://www.laroche-posay.us/our-products/face/face-wash/toleriane-hydrating-gentle-facial-cleanser-tolerianehydratinggentlefacialcleanser.html?srsltid=AfmBOorE6un00-JVQGwKvZdNIetCCYk208sfkEAsKjXDmru3524Pi_yy,https://www.skinceuticals.com/skincare/facial-cleansers/gentle-cleanser/S33.html,https://www.sephora.com/product/clean-clean-gentle-gel-foaming-cleanser-P514513?country_switch=us&lang=en&skuId=2836500&om_mmc=ppc-GG_17791296883___2836500__9060360_c&country_switch=us&lang=en&gclsrc=aw.ds&gad_source=1&gad_campaignid=17798721803&gbraid=0AAAAADnIXb2iRXJ0QTqbGUoBbWQDqg-kY&gclid=Cj0KCQjw0Y3HBhCxARIsAN7931X3M1u2WTDys1K5zM5hKeZlNxaiwiP75IMD_lZ8wtf-0WM3GAbQCKAaAmDUEALw_wcB,,,,,
Active Cleanser,Cleanser,https://prequelskin.com/products/gleanser-glycerin-and-glycolic-acid-cleanser?variant=51161681953080&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_source=google&utm_medium=cpc&utm_campaign=20447027707&utm_content=155063592129&utm_term=&gad_source=1&gad_campaignid=20447027707&gbraid=0AAAAAqEnHvTSvVjHTxfDrgbl3N5hmcgCd&gclid=Cj0KCQjw0Y3HBhCxARIsAN7931VyiaCzLtw0BH_e8YTXWL8C3HlnICwlXXxFltBeb5jMQ-_UU9ntrfMaArANEALw_wcB,https://prequelskin.com/products/gleanser-glycerin-and-salicylic-acid-cleanser?variant=49334399303992,https://artofskincare.com/products/circadia-cleansing-gel-with-mandelic-acid?variant=54347356569673&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOooo8pAxDEyQbWeSkCcR3bDT862F8fiuutoL5XRWkO6IUq4a0Rib1Aw,,,,,,
Vitamin Scrub,Cleanser,https://www.paulaschoice.com/the-unscrub/740-7400.html?p=20FSOFFAQ&utm_source=google&utm_medium=cpc&utm_campaign=US_Google_PMax_General_CN_GFF&utm_term=22695669488&utm_content=&gad_source=1&gad_campaignid=22689708420&gbraid=0AAAAADj58WhOAALqBXec_ljf5wIO-lW7U&gclid=Cj0KCQjw0Y3HBhCxARIsAN7931UNPaEEzY5oMhwvzj4gKoiPA6GF5bXfTh5rXODEgz3w0hIiK44IaGMaAnPVEALw_wcB,https://clearstem.com/products/vitaminscrub?variant=39929360154784&nbt=nb%3Aadwords%3Ax%3A18140489249%3A%3A&nb_adtype=pla&nb_kwd=&nb_ti=&nb_mi=478279690&nb_pc=online&nb_pi=39929360154784&nb_ppi=&nb_placement=&nb_si=%7Bsourceid%7D&nb_li_ms=&nb_lp_ms=&nb_fii=&nb_ap=&nb_mt=&utm_source=google&utm_medium=paid&utm_campaign=18140489249&utm_content=[adid]&utm_term=&gadid=&gad_source=1&gad_campaignid=18134815143&gbraid=0AAAAAC5lYBfywAaXFH34c-EWkF_aesPC7&gclid=Cj0KCQjw0Y3HBhCxARIsAN7931Wa2mV-9qw2nZe2sReSS74MJ4Y9ozf-fhyt4-YtPDhybWQjclr5QPcaAinpEALw_wcB,,,,,,,
Exfoliating Scrub,Cleanser,https://www.bibalosangeles.com/products/mandelic-scrub?variant=39678049157168&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&tmsrc=googlead&tmcid=21896141747&tmsid=&tmid=&tmkw=&gad_source=1&gad_campaignid=21899981410&gbraid=0AAAAAoOSgyT51C7DFkZoJEPCDXsT6O82B&gclid=Cj0KCQjw0Y3HBhCxARIsAN7931XNr7PhXz0Wm4NWCAJqyitcZ5X37yFbr8_LYhxeHmBmXt2pL1lG8ugaAlhFEALw_wcB,https://prequelskin.com/products/gleanser-glycerin-and-salicylic-acid-cleanser?variant=49334399303992,https://prequelskin.com/products/gleanser-glycerin-and-salicylic-acid-cleanser?variant=49334399303992,https://www.bibalosangeles.com/products/mandelic-scrub?variant=39678049157168&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&tmsrc=googlead&tmcid=21896141747&tmsid=&tmid=&tmkw=&gad_source=1&gad_campaignid=21899981410&gbraid=0AAAAAoOSgyT51C7DFkZoJEPCDXsT6O82B&gclid=Cj0KCQjw0Y3HBhCxARIsAN7931XNr7PhXz0Wm4NWCAJqyitcZ5X37yFbr8_LYhxeHmBmXt2pL1lG8ugaAlhFEALw_wcB,,,,,
Moisturizing Toner,Toner,https://www.ulta.com/p/supple-preparation-unscented-toner-pimprod2023584?sku=2580264&cmpid=PS_Non!google!Product_Listing_Ads&cagpspn=pla&CATCI=aud-880489734931:pla-297750802781&CAAGID=107718647716&CAWELAID=330000200002757189&CATARGETID=330000200001394369&CADevice=c&gad_source=1&gad_campaignid=10966309186&gbraid=0AAAAAD9rLH6iCZXFbu3kgxdxPZGu6RDIi&gclid=Cj0KCQjw0Y3HBhCxARIsAN7931WiJNSsQ8fm7GkhRezXin6juRjJ7Wjzj-rCtrK7G1xCAk5d5ZnaC1waAqIjEALw_wcB,https://facerealityskincare.com/products/moisture-balance-toner?variant=41394079793291,https://www.amazon.com/Biba-Sousa-Hydrating-Toner-Phospholipids/dp/B0C5NNCMLT?tag=skinsort00-20,,,,,,
Soothing Toner,Toner,https://www.paulaschoice.com/calm-nourishing-milky-toner/9230-9230.html?p=20FSOFFAQ&utm_source=google&utm_medium=cpc&utm_campaign=US_Google_PMax_General_CN_GFF&utm_term=22805137172&utm_content=&gad_source=4&gad_campaignid=22805147738&gbraid=0AAAAADj58Wj_Auweoo78-54F87e40pg8Z&gclid=Cj0KCQjw0Y3HBhCxARIsAN7931WRqthEJawWZ8Wd6kGL_kaMxrwNsP6exvCXg9KmQzmw5m8S53-iM9AaAliTEALw_wcB,https://facerealityskincare.com/products/soothing-radiance-toner?variant=43614310695051,https://www.sk-ii.com/product/essence/facial-treatment-essence/75ml?gclsrc=aw.ds&gad_source=1&gad_campaignid=22704799194&gbraid=0AAAAAC9qyaPEsrPviRIoxQKcpMqmPRUdN&gclid=Cj0KCQjwo63HBhCKARIsAHOHV_WEq9ieqdoVGVGlrBb_9WGXBOWG4g5Q_Ytdqwa1Yhe0FVIYC7zRo9waAt-4EALw_wcB,,,,,,
Resurfacing Toner,Toner,https://www.walmart.com/ip/cleen-beauty-PHA-Toner-alcohol-free-5-fl-oz/542088548?clickid=0VJS2DWQoxycRdTSAFQzIUMmUkp3OSRnuQbgwM0&irgwc=1&sourceid=imp_0VJS2DWQoxycRdTSAFQzIUMmUkp3OSRnuQbgwM0&veh=aff&wmlspartner=imp_170244&affiliates_ad_id=612734&campaign_id=9383&sharedid=5467021,https://www.paulaschoice.com/skin-perfecting-2pct-bha-liquid-exfoliant/201-2010.html?utm_source=google&utm_medium=cpc&utm_campaign=US_Google_PMax_2%BHALiquidExfoliant_CN_GFF&utm_term=22647777307&utm_content=&gad_source=1&gad_campaignid=22637983812&gbraid=0AAAAADj58WhMfl2v7zA6qaNDRdk2ik-CC&gclid=Cj0KCQjw0Y3HBhCxARIsAN7931Ws-_zT7PWuFWcUaDJb8Rcrd8uv3F6xrRohWd1fHnkGmQSVdB9ageoaAjXvEALw_wcB,,,,,,,
Retinol Serum,Serum,https://theordinary.com/en-us/retinol-05-in-squalane-serum-100440.html?dwvar_100440_size=30ml&quantity=1&gclsrc=aw.ds&gad_source=1&gad_campaignid=20265797482&gbraid=0AAAAADhEcnk4YfFYxegogRfci4mS6dphf&gclid=Cj0KCQjwo63HBhCKARIsAHOHV_UJfmwqzKDLvOVDsRMrGv9JyMogOO3Fcw7biR2xP8wcvRUeBh3QVmAaAkv5EALw_wcB,https://www.goodmolecules.com/s/good-molecules-gentle-retinol-cream-single?utm_source=google&utm_medium=cpc&utm_campaign=us_shopping_nb&utm_term=&utm_content=smawa&gad_source=1&gad_campaignid=18265422926&gbraid=0AAAAACgypU9rnb8OpE3BjtsYEfeYFa_JA&gclid=Cj0KCQjw0Y3HBhCxARIsAN7931Wcd1WhdPy6ksRrmoCbDG0gulgvUPASD53GnhhxUJE2lnusTX2oSx4aAu_rEALw_wcB,,,,,,,
Mandelic Serum (Gentle),Serum,https://www.sephora.com/product/mini-skin-perfecting-6-mandelic-acid-2-lactic-acid-liquid-exfoliant-P514579?country_switch=us&lang=en&skuId=2793487&om_mmc=ppc-GG_17791296883___2793487__9060360_c&country_switch=us&lang=en&gclsrc=aw.ds&gad_source=1&gad_campaignid=17798721803&gbraid=0AAAAADnIXb2iRXJ0QTqbGUoBbWQDqg-kY&gclid=Cj0KCQjw0Y3HBhCxARIsAN7931X4_WAtEU60D0d-Cqdio83kGUdgluAIsE2nwuYTvVND0JLISGGX428aAjaQEALw_wcB,https://www.sofiepavittface.com/products/mandelic-clearing-serum,,,,,,,
Mandelic Serum (Full Strength),Serum,https://www.goodmolecules.com/s/good-molecules-mandelic-acid-serum-single,https://theordinary.com/en-us/mandelic-acid-10-ha-exfoliator-100429.html?dwvar_100429_size=30ml&quantity=1&gclsrc=aw.ds&gad_source=1&gad_campaignid=20265797482&gbraid=0AAAAADhEcnmLZpK4T3-5ZhbeH2oaGrNde&gclid=CjwKCAjwup3HBhAAEiwA7euZujV4qez2FPbrMVdnnW_M-pxk_1_DLII3vvai_RyTMt2Aaa5hGrDOzhoCU24QAvD_BwE,https://www.sofiepavittface.com/products/mandelic-clearing-serum,,,,,,
Resurfacing Serum,Serum,https://theordinary.com/en-us/salicylic-acid-2-solution-acne-control-100098.html?dwvar_100098_size=30ml&quantity=1&gclsrc=aw.ds&gad_source=1&gad_campaignid=20265797482&gbraid=0AAAAADhEcnk4YfFYxegogRfci4mS6dphf&gclid=Cj0KCQjwo63HBhCKARIsAHOHV_Wxy22AwPcfnn_5RNNDJ5tyMy7u_pGVdAwV4qlev1o5XmFXhjgD5-0aAksbEALw_wcB,https://naturium.com/products/salicylic-acid-serum-2?variant=39777921368119&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_source=google&utm_medium=pmax&utm_campaign=Performance+Max+-+Catch+All+-+tROAS+-+US&gad_source=1&gad_campaignid=18909077009&gbraid=0AAAAACvIUqMt9Md1yLMqfAARqdtT5dhRC&gclid=Cj0KCQjw0Y3HBhCxARIsAN7931VJgiS8558NQOEQVkbr03j_BTjyUOw45dZMfcaiGhaneNdLsqNbSrwaAknGEALw_wcB,https://www.skinceuticals.com/skincare/oil-free-serums/blemish-plus-age-defense/S11.html,,,,,,
Hydrating Serum,Hydrator,https://www.goodmolecules.com/s/good-molecules-hyaluronic-acid-serum-30-ml?srsltid=AfmBOor-8J56i5-UvTBLu5u7UCKP14apD94B5nSiYZTcXhv8uPlru50CObQ,https://www.sephora.com/product/super-saturated-hydrating-barrier-serum-P518192?country_switch=us&lang=en&skuId=2897221&om_mmc=ppc-GG_17791296883___2897221__9060360_c&country_switch=us&lang=en&gclsrc=aw.ds&gad_source=1&gad_campaignid=17798721803&gbraid=0AAAAADnIXb2iRXJ0QTqbGUoBbWQDqg-kY&gclid=Cj0KCQjw0Y3HBhCxARIsAN7931XG97WMdWg5M5b2qX2a_r7vzhnMOKWYuDx7fKTJqmWcUS3B2h54538aAu2rEALw_wcB,https://prequelskin.com/products/multi-quench-polyglutamic-acid-serum?currency=USD&srsltid=AfmBOoqacvYOj7vh5qiGVEJq4vFPk7LG5YIsqPBC9rHs9DcgcAo2FFG-Rs0&utm_campaign=sag_organic&utm_content=sag_organic&utm_medium=product_sync&utm_source=google&variant=48847479800120,,,,,,
Heavy Moisturizer,Moisturizer,https://www.target.com/p/vanicream-daily-facial-moisturizer-for-sensitive-skin-3-fl-oz/-/A-80038093#lnk=sametab,https://us.medik8.com/products/total-moisture-daily-facial-cream?variant=43034906558650&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=21918232755&gbraid=0AAAAABm-Wi5Sk-wbkc9oZ_KYxNHklFcjM&gclid=Cj0KCQjw0Y3HBhCxARIsAN7931VokCmOiQ3TBw-2bpdWgjh87lOYKx08Pf2vkbzwpWa4s5HrzDTcyyAaAgaAEALw_wcB,https://clearstem.com/products/hydraglow,,,,,,https://prequelskin.com/products/ectoin-cream?variant=49895569850680&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_source=google&utm_medium=cpc&utm_campaign=20447027707&utm_content=155063592129&utm_term=&gad_source=1&gad_campaignid=20447027707&gbraid=0AAAAAqEnHvTSvVjHTxfDrgbl3N5hmcgCd&gclid=Cj0KCQjw0Y3HBhCxARIsAN7931VetyYlAaWELCrqjR1M1SlOudIL55pTCRos-739WQLvwghLGpot57saAmprEALw_wcB
Light Moisturizer,Moisturizer,https://www.target.com/p/byoma-blemish-acne-control-moisturizer-1-69-fl-oz/-/A-94468812#lnk=sametab,https://prequelskin.com/products/am-pm-face-moisturizer?variant=50309200478520,https://clearstem.com/products/hydraglow,,,,,,
Chemical SPF,Sunscreen,https://prequelskin.com/products/solar-shade-chemical-sunscreen?pr_prod_strat=e5_desc&pr_rec_id=a9337404d&pr_rec_pid=9547773575480&pr_ref_pid=8929323254072&pr_seq=uniform&variant=49165199278392,https://www.sephora.com/product/supergoop-unseen-sunscreen-invisible-broad-spectrum-spf-50-pa-P514631?country_switch=us&lang=en&skuId=2837938&om_mmc=ppc-GG_17791296883___2837938__9060360_c&country_switch=us&lang=en&gclsrc=aw.ds&gad_source=1&gad_campaignid=17798721803&gbraid=0AAAAADnIXb3Y-L6FVmXoA-5DQY9aL5mGF&gclid=Cj0KCQjwo63HBhCKARIsAHOHV_W2uNK9kGeMo91LbegbNK70Q-0J_p3a-E3Nhh12qtQLEpbo81jKQsQaArsDEALw_wcB,https://www.sephora.com/product/supergoop-every-single-face-watery-lotion-spf-50-P482325?country_switch=us&lang=en&skuId=2535383&om_mmc=ppc-GG_17791296883___2535383__9060360_c&country_switch=us&lang=en&gclsrc=aw.ds&gad_source=1&gad_campaignid=17798721803&gbraid=0AAAAADnIXb2iRXJ0QTqbGUoBbWQDqg-kY&gclid=Cj0KCQjw0Y3HBhCxARIsAN7931WcfT6WMSlqncKHXKbUAhXTawKxevq7-YXTLfZouTUTELofxUdn1-EaAvRFEALw_wcB,,,,,,
Mineral SPF,Sunscreen,https://prequelskin.com/products/sun-barrier-mineral-sunscreen?variant=47624422818104,https://tizoskin.com/products/ultra-zinc-body-face-sunscreen-non-tinted?variant=46053431869669&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_source=google&utm_medium=cpc&utm_campaign=22259486818&utm_term=&utm_content=&utm_source=google&utm_medium=cpc&utm_campaign=22259486818&utm_term=&utm_content=&gad_source=1&gad_campaignid=22255600517&gbraid=0AAAAACOg3ZEP7QGZPpFc19RfZTkY2AXBy&gclid=Cj0KCQjwo63HBhCKARIsAHOHV_XdkaFfuEbkNx5X7pFQ_YAKP2rSQFe6cjau6xe9WLgaBzdduiQgTuoaAsj8EALw_wcB,,,,,,,
BPO 2.5%,Treatment,https://www.amazon.com/dp/B00DFEGDVS/ref=sxr_rr_xsim_1_s_it?pf_rd_m=ATVPDKIKX0DER&pf_rd_p=9ddc66f6-9fc0-49ff-b2fa-06a39d9859e6&pd_rd_wg=u17iL&pf_rd_r=XD34BTCCK8DN3YH7ZPBT&pf_rd_s=desktop-rhs-carousels&pf_rd_t=301&pd_rd_i=B00DFEGDVS&pd_rd_w=WlbdC&pf_rd_i=dr+song+benzoyl+peroxide+2.5&pd_rd_r=ee99a6d0-215d-4e00-87bc-b9ed556a2758&ie=UTF8&qid=1537380549&sr=1,https://www.amazon.com/MDacne-Treatment-Blemishes-Plant-Based-Ingredients/dp/B0917KL3V7/ref=pd_sbs_d_sccl_1_2/131-2457188-3123753?pd_rd_w=nrTf6&content-id=amzn1.sym.2cd14f8d-eb5c-4042-b934-4a05eafd2874&pf_rd_p=2cd14f8d-eb5c-4042-b934-4a05eafd2874&pf_rd_r=ZB7ZM6HZGQ9QGDGJR8X5&pd_rd_wg=uEgHo&pd_rd_r=2603f94a-7d83-48d1-93b6-3cb1cda16854&pd_rd_i=B0917KL3V7&psc=1,https://www.sephora.com/product/sofie-pavitt-face-5-benzoyl-peroxide-acne-treatment-mask-with-glycolic-acid-P515840?country_switch=us&lang=en&skuId=2847697&om_mmc=ppc-GG_17791296883___2847697__9060360_c&country_switch=us&lang=en&gclsrc=aw.ds&gad_source=1&gad_campaignid=17798721803&gbraid=0AAAAADnIXb2iRXJ0QTqbGUoBbWQDqg-kY&gclid=Cj0KCQjw0Y3HBhCxARIsAN7931UXKajVqez9HslGJVbOOaTv8aS6OMAmg_2SOvg8Uhm-JpsrtDdn4uoaAkioEALw_wcB,,,,,,
BPO 5%,Treatment,https://www.amazon.com/dp/B0917LKT7B/ref=sspa_dk_detail_5?psc=1&pd_rd_i=B0917LKT7B&pd_rd_w=tV9e4&content-id=amzn1.sym.8c2f9165-8e93-42a1-8313-73d3809141a2&pf_rd_p=8c2f9165-8e93-42a1-8313-73d3809141a2&pf_rd_r=QKJ38QX9D9Z8812WCX22&pd_rd_wg=ZnEYo&pd_rd_r=bd9060ff-876a-468a-a1e2-417b029f7b61&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,https://www.obagi.com/products/clenziderm-acne-therapeutic-lotion?srsltid=AfmBOorfF3CLy1sLOR9ylPg9md_tFVXXa6PU1Xi1OJEsMOcnb-ezgfJN,,,,,,,
BPO 10%,Treatment,https://www.amazon.com/AcneFree-Terminator-Treatment-Peroxide-Strength/dp/B0014VTOAQ/ref=sr_1_9?crid=3D1TRJEKCK78B&dib=eyJ2IjoiMSJ9.QJSzh4HbOHAj_GaWD9nI05rE_xucOqT2MUBiuahYFbsUHRK2CovtYkZtv43LQhB4fp4QN_8OzdJ0xneVdeUJUL4xvH0YoZSeT8QvtBsEvdxGS3X9t2RZhH2dB_bNvTmO6ra1jOmXAsDLdUVjd4rGol9klviz7SsU028VyrPt8FpEMRzXsxnkBHm8s1EXJlAlgh_6pbhANm4u5L1-q6QbqmzKF2iJsdWl8FOPCtY2ZD4YiFvgVHy1g_j1g2kHDzEXW1IHfZvT_Xa1Q1hGj_YkFNJeZmIF7wxWmk9ckjfB16Q.-9HliRI00gNZc3iF7W-gPovkCwKbVuqO1nOUEZst3CY&dib_tag=se&keywords=10%25%2Bbenzoyl%2Bperoxide&qid=1759809394&s=beauty&sprefix=10%25%2Bbenzoyl%2Bperoxid%2Cbeauty%2C148&sr=1-9&th=1,,,,,,,,